unit,signal,type,group,QIP42
1,C0,I,L0,5
1,C1,I,L0,6
1,C2,I,L0,7
1,C3,I,L0,8
1,C4,I,L0,9
1,C5,I,L0,10
1,C6,I,L0,11
1,C7,I,L0,12
1,C8,I,L0,13
1,C9,I,L0,14
1,C10,I,L0,15
1,C11,I,L0,16
1,C12,I,L0,17
1,C13,I,L0,18
1,C14,I,L0,19
1,C15,I,L0,20
1,CREQ,NI,L1,41
1,S0,I,L2,1
1,S1,I,L2,2
1,S2,I,L2,3
1,S3,I,L2,4
1,R0,NI,L3,39
1,R1,NI,L3,37
1,MACK,NC,L3,36
1,M0,OZ,R0,22
1,M1,OZ,R0,23
1,M2,OZ,R0,24
1,M3,OZ,R0,25
1,M4,OZ,R0,26
1,M5,OZ,R0,27
1,M6,OZ,R0,28
1,M7,OZ,R0,29
1,M8,OZ,R0,30
1,M9,OZ,R0,31
1,M10,OZ,R0,32
1,M11,OZ,R0,33
1,MREQ,NOU,R1,34
1,BUSY,NIOU,R1,38
1,CACK,NOU,R2,40
0,GND,P,,21
0,VCC,P,,42
