pin,5-1-1,5-2-6,5-2-7,5-3-1,5-3-2,5-4-1,5-4-2,5-4-3,5-4-4,5-4-5,5-5-1,5-5-2,5-5-3,5-5-4,5-5-5,5-5-6,5-5-7,5-6-1,5-6-2,5-6-3,5-6-4,5-6-5,5-7-1,5-7-2,5-7-3,5-7-4,5-8-1,5-8-2,5-8-3,5-8-4,5-9-1,5-9-2,5-9-3,5-9-4,5-9-5,5-9-6,5-13-1,5-16-1,5-16-2,5-16-3,5-21-1
1,A3,A7,A7,,,,,,,A14,,,,,,,,A14,,,,A18,,,,A18,,,,A17,A0,A0,A0,A0,A0,,A11,,,A18,!OE
2,A4,A6,A6,,,,,A12,A12,A12,,,,,,,A14,A12,,A16,A16,A16,,A16,A16,A16,,A15,A15,A15,A1,A1,A1,A1,A1,A0,A9,A16,A16,A16,A11
3,A5,A5,A5,,,A7,A7,A7,A7,A7,,,,,A12,A12,A12,A7,A14,A14,A14,A14,A14,A14,A14,A14,A8,A8,A8,A8,A2,A2,A2,A2,A2,A1,A8,A14,A14,A14,A9
4,D0,A4,A4,A7,A7,A6,A6,A6,A6,A6,A7,A7,A7,A7,A7,A7,A7,A6,A12,A12,A12,A12,A12,A12,A12,A12,A7,A7,A7,A7,A3,A3,A3,A3,A3,A2,A13,A12,A12,A12,A8
5,D1,A3,A3,A6,A6,A5,A5,A5,A5,A5,A6,A6,A6,A6,A6,A6,A6,A5,A7,A7,A7,A7,A7,A7,A7,A7,A6,A6,A6,A6,!CE,!CE,A4,A4,A4,A3,!WE,A7,A7,A7,A13
6,D2,A2,A2,A5,A5,A4,A4,A4,A4,A4,A5,A5,A5,A5,A5,A5,A5,A4,A6,A6,A6,A6,A6,A6,A6,A6,A5,A5,A5,A5,DQ0,DQ0,!CE,!CE,!CE,A4,CE2,A6,A6,A6,!WE
7,D3,A1,A1,A4,A4,A3,A3,A3,A3,A3,A4,A4,A4,A4,A4,A4,A4,A3,A5,A5,A5,A5,A5,A5,A5,A5,A4,A4,A4,A4,DQ1,DQ1,DQ0,DQ0,DQ0,!CE,A15,A5,A5,A5,VCC
8,D4,A0,A0,A3,A3,A2,A2,A2,A2,A2,A3,A3,A3,A3,A3,A3,A3,A2,A4,A4,A4,A4,A4,A4,A4,A4,A3,A3,A3,A3,VCC,VCC,DQ1,DQ1,DQ1,DQ0,VCC,A4,A4,A4,A14
9,D5,DQ0,DQ0,A2,A2,A1,A1,A1,A1,A1,A2,A2,A2,A2,A2,A2,A2,A1,A3,A3,A3,A3,A3,A3,A3,A3,A2,A2,A2,A2,GND,GND,VCC,VCC,VCC,DQ1,,A3,A3,A3,A12
10,D6,DQ1,DQ1,A1,A1,A0,A0,A0,A0,A0,A1,A1,A1,A1,A1,A1,A1,A0,A2,A2,A2,A2,A2,A2,A2,A2,A1,A1,A1,A1,DQ2,DQ2,GND,GND,GND,VCC,A16,A2,A2,A2,A7
11,D7,DQ2,DQ2,A0,A0,DQ0,DQ0,DQ0,DQ0,DQ0,A0,A0,A0,A0,A0,A0,A0,DQ0,A1,A1,A1,A1,A1,A1,A1,A1,A0,A0,A0,A0,DQ3,DQ3,DQ2,DQ2,DQ2,GND,A14,A1,A1,A1,A6
12,D8,GND,GND,,,DQ1,DQ1,DQ1,DQ1,DQ1,,,,,,,,DQ1,A0,A0,A0,A0,A0,A0,A0,A0,DQ0,DQ0,DQ0,DQ0,!WE,!WE,DQ3,DQ3,DQ3,DQ2,A12,A0,A0,A0,A5
13,!WE,DQ3,DQ3,DQ0,DQ0,DQ2,DQ2,DQ2,DQ2,DQ2,DQ0,DQ0,DQ0,DQ0,DQ0,DQ0,DQ0,DQ2,DQ0,DQ0,DQ0,DQ0,DQ0,DQ0,DQ0,DQ0,DQ1,DQ1,DQ1,DQ1,A4,A4,!WE,!WE,!WE,DQ3,A7,DQ0,DQ0,DQ0,A4
14,GND,DQ4,DQ4,DQ1,DQ1,GND,GND,GND,GND,GND,DQ1,DQ1,DQ1,DQ1,DQ1,DQ1,DQ1,GND,DQ1,DQ1,DQ1,DQ1,DQ1,DQ1,DQ1,DQ1,DQ2,DQ2,DQ2,DQ2,A5,A5,A5,A5,A5,!WE,A6,DQ1,DQ1,DQ1,A3
15,!CS,DQ5,DQ5,DQ2,DQ2,DQ3,DQ3,DQ3,DQ3,DQ3,DQ2,DQ2,DQ2,DQ2,DQ2,DQ2,DQ2,DQ3,DQ2,DQ2,DQ2,DQ2,DQ2,DQ2,DQ2,DQ2,DQ3,DQ3,DQ3,DQ3,A6,A6,A6,A6,A6,A5,A5,DQ2,DQ2,DQ2,A2
16,Q8,DQ6,DQ6,GND,GND,DQ4,DQ4,DQ4,DQ4,DQ4,GND,GND,GND,GND,GND,GND,GND,DQ4,GND,GND,GND,GND,GND,GND,GND,GND,GND,GND,GND,GND,A7,A7,A7,A7,A7,A6,A4,GND,GND,GND,A1
17,Q7,DQ7,DQ7,,,DQ5,DQ5,DQ5,DQ5,DQ5,,,,,,,,DQ5,DQ3,DQ3,DQ3,DQ3,DQ3,DQ3,DQ3,DQ3,DQ4,DQ4,DQ4,DQ4,,A8,A8,A8,A8,A7,A3,DQ3,DQ3,DQ3,A0
18,Q6,!CS1,!CE,DQ3,DQ3,DQ6,DQ6,DQ6,DQ6,DQ6,DQ3,DQ3,DQ3,DQ3,DQ3,DQ3,DQ3,DQ6,DQ4,DQ4,DQ4,DQ4,DQ4,DQ4,DQ4,DQ4,DQ5,DQ5,DQ5,DQ5,A8,A9,A9,A9,A9,A8,A2,DQ4,DQ4,DQ4,DQ0
19,Q5,!CS2,A10,DQ4,DQ4,DQ7,DQ7,DQ7,DQ7,DQ7,DQ4,DQ4,DQ4,DQ4,DQ4,DQ4,DQ4,DQ7,DQ5,DQ5,DQ5,DQ5,DQ5,DQ5,DQ5,DQ5,DQ6,DQ6,DQ6,DQ6,A9,A10,,,A10,A9,A1,DQ5,DQ5,DQ5,DQ1
20,Q4,!OE,!OE,DQ5,DQ5,!CE,!CE,!CE,!CE,!CE,DQ5,DQ5,DQ5,DQ5,DQ5,DQ5,DQ5,!CE,DQ6,DQ6,DQ6,DQ6,DQ6,DQ6,DQ6,DQ6,DQ7,DQ7,DQ7,DQ7,A10,A11,A10,A10,A11,,A0,DQ6,DQ6,DQ6,DQ2
21,Q3,!WE,!WE,DQ6,DQ6,A10,A10,A10,A10,A10,DQ6,DQ6,DQ6,DQ6,DQ6,DQ6,DQ6,A10,DQ7,DQ7,DQ7,DQ7,DQ7,DQ7,DQ7,DQ7,DQ8,DQ8,DQ8,DQ8,A11,A12,A11,A11,A12,,DQ0,DQ7,DQ7,DQ7,GND
22,Q2,A9,A9,DQ7,DQ7,!OE,!OE,!OE,!OE,!OE,DQ7,DQ7,DQ7,DQ7,DQ7,DQ7,DQ7,!OE,!CE,!CE,!CE,!CE,!CE,!CE1,!CE,!CE,!CS,!CS,!CS,!CS,DQ,DQ4,A12,A12,A13,A10,DQ1,!CE,!CE,!CE,DQ3
23,Q1,A8,A8,!CS,!CS,,A11,A11,A11,A11,!CS,!CS,!CS,!CS,!CS,!CS,!CS,A11,A10,A10,A10,A10,A10,A10,A10,A10,A12,A12,A12,A12,DQ,DQ5,A13,A13,A14,A11,DQ2,A10,A10,A10,DQ4
24,Q0,VCC,VCC,A10,A10,A9,A9,A9,A9,A9,,,A10,A10,A10,A10,A10,A9,!OE,!OE,!OE,!OE,!OE,!OE,!OE,!OE,!OE,!OE,!OE,!OE,VCC,VCC,A14,A14,A15,A12,GND,!OE,!OE,!OE,DQ5
25,A0,,,!OE,!OE,A8,A8,A8,A8,A8,!OE,!OE,!OE,!OE,!OE,!OE,!OE,A8,A11,A11,A11,A11,A11,A11,A11,A11,A11,A11,A11,A11,GND,GND,DQ4,DQ4,DQ4,A13,DQ3,A11,A11,A11,DQ6
26,A1,,,!WE,!WE,,,,A13,A13,,,,,,,,A13,A9,A9,A9,A9,A9,A9,A9,A9,A10,A10,A10,A10,DQ,DQ6,DQ5,DQ5,DQ5,A14,DQ4,A9,A9,A9,DQ7
27,A2,,,,A11,!WE,!WE,!WE,!WE,!WE,,,,A11,A11,A11,A11,!WE,A8,A8,A8,A8,A8,A8,A8,A8,A9,A9,A9,A9,DQ,DQ7,VCC,VCC,VCC,A15,DQ5,A8,A8,A8,!CE
28,VCC,,,A9,A9,VCC,VCC,VCC,VCC,VCC,,A9,A9,A9,A9,A9,A9,VCC,A13,A13,A13,A13,A13,A13,A13,A13,A13,A13,A13,A13,!OE,!OE,GND,GND,GND,DQ4,DQ6,A13,A13,A13,A10
29,,,,A8,A8,,,,,,A8,A8,A8,A8,A8,A8,A8,,!WE,!WE,!WE,!WE,!WE,!WE,!WE,!WE,!WE,!WE,!WE,!WE,A12,A13,DQ6,DQ6,DQ6,DQ5,DQ7,!WE,!WE,!WE,
30,,,,,,,,,,,,,,,,A13,A13,,,,A17,A17,,CE2*,A17,A17,,,A16,A16,A13,A14,DQ7,DQ7,DQ7,VCC,!CE1,CE2*,A17,A17,
31,,,,,,,,,,,!WE,!WE,!WE,!WE,!WE,!WE,!WE,,A15,A15,A15,A15,A15,A15,A15,A15,A14,A14,A14,A14,A14,A15,!OE,DQ8,!OE,GND,A10,A15,A15,A15,
32,,,,VCC,VCC,,,,,,VCC,VCC,VCC,VCC,VCC,VCC,VCC,,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,,A16,A15,!OE,A16,DQ6,!OE,VCC,VCC,VCC,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A16,A15,A17,DQ7,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A17,A16,A18,DQ8,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A18,A17,A19,!OE,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A18,A20,A16,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A17,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A18,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A19,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A20,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
size,64R9,1K8,2K8,2K8,4K8,2K8,4K8,8K8,16K8,32K8,512R8,1K8,2K8,4K8,8K8,16K8,32K8,32K8,64K8,128K8,256K8,512K8,64K8,128K8,256K8,512K8,32K9,64K9,128K9,256K9,32K8,128K8,512K8,512K9,2M8,2M9,128K8,128K8,256K8,512K8,32K8
